alternative_motive_power,basic_colour,body_type,cc_rating,chassis7,class,engine_number,first_nz_registration_year,first_nz_registration_month,gross_vehicle_mass,height,import_status,industry_class,industry_model_code,make,model,motive_power,mvma_model_code,number_of_axles,number_of_seats,nz_assembled,original_country,power_rating,previous_country,road_transport_code,submodel,tla,postcode,transmission_type,vdam_weight,vehicle_type,vehicle_usage,vehicle_year,vin11,width,synthetic_greenhouse_gas,fc_combined,fc_urban,fc_extra_urban
,RED,TRACTOR,2705,PD30170,,CAD4/30/7201,1994.0,1.0,0.0,0,RE-REG,UNKNOWN,,DAVID BROWN,CROPMASTER,DIESEL,,0,0,UNKNOWN,UNITED KINGDOM,0,NONE,,,SOUTH TARANAKI DISTRICT,4674,,0,TRACTOR,OTHER,1953,,0,,,,
,BLUE,TRACTOR,3600,1229431,,S240121,1993.0,12.0,0.0,0,RE-REG,UNKNOWN,,FORDSON,NEW MAJOR,DIESEL,,0,0,UNKNOWN,NEW ZEALAND,0,NONE,,,WHANGANUI DISTRICT,4501,,0,TRACTOR,OTHER,1952,,0,,,,
,BLUE,TRACTOR,4195,A358369,,8J-28B,1994.0,3.0,0.0,0,RE-REG,UNKNOWN,,FORD,6600,DIESEL,,0,0,UNKNOWN,NEW ZEALAND,0,NONE,,,WAITAKI DISTRICT,9400,,0,TRACTOR,OTHER,1982,,0,,,,
,GREEN,TRACTOR,3900,LO6200P,,CD4039T133668,1994.0,2.0,0.0,0,NEW,UNKNOWN,,JOHN DEERE,6200,DIESEL,,0,0,UNKNOWN,GERMANY,0,NONE,,,GISBORNE DISTRICT,0,,0,TRACTOR,OTHER,1994,,0,,,,
,ORANGE,TRACTOR,21236,10963RC,,514882,1994.0,8.0,0.0,0,NEW,PRIVATE,,KUBOTA,FZ400,DIESEL,,0,0,UNKNOWN,JAPAN,0,NONE,,,NEW PLYMOUTH DISTRICT,4310,,0,TRACTOR,OTHER,1994,,0,,,,
,BLUE,TRACTOR,2499,00042,,764573,1994.0,11.0,0.0,0,NEW,UNKNOWN,,ISEKI,TA545,DIESEL,,0,0,UNKNOWN,JAPAN,0,NONE,,,NEW PLYMOUTH DISTRICT,4388,,0,TRACTOR,OTHER,1994,,0,,,,
,RED,TRACTOR,4390,JJE0902,,0088930,1994.0,10.0,0.0,0,NEW,UNKNOWN,,CASE,4230 AXL,DIESEL,,0,0,UNKNOWN,UNITED KINGDOM,0,NONE,,,TARARUA DISTRICT,0,,0,TRACTOR,OTHER,1994,,0,,,,
,RED,TRACTOR,2500,TEA2325,,SC9833E,1952.0,3.0,0.0,0,NEW,AGRICULTURE/FORESTRY/FISHING,,FERGUSON,TRACTOR,PETROL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,WAITOMO DISTRICT,3981,,0,TRACTOR,AGRICULTURAL,1952,,0,,,,
,BLUE,TRACTOR,3400,44N3026,,34TD14812632,1972.0,3.0,0.0,0,NEW,PRIVATE,,LEYLAND,344,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,NELSON CITY,7072,,0,TRACTOR,OTHER,1972,,0,,,,
,RED,TRACTOR,2000,51592E,,,1974.0,10.0,0.0,0,NEW,UNKNOWN,,FERGUSON,TEA 20,PETROL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,WHANGANUI DISTRICT,0,,0,TRACTOR,OTHER,1950,,0,,,,
