tla,tier_assigned,annual_diesel_litres
WHANGANUI DISTRICT,Tier 3,481338.39403346606
WAIMAKARIRI DISTRICT,Tier 4f,478796.51291790634
NEW PLYMOUTH DISTRICT,Tier 4f,473562.71940565645
CHRISTCHURCH CITY,Tier 2,469791.94151363726
TARARUA DISTRICT,Tier 4f,468625.6978860587
RANGITIKEI DISTRICT,Tier 4f,462696.67185320903
DUNEDIN CITY,Tier 4f,461406.255290834
SELWYN DISTRICT,Tier 4i,457826.66766402405
WAIPA DISTRICT,Tier 2,456568.4054896872
CLUTHA DISTRICT,Tier 4i,454356.6373853923
HAMILTON CITY,Stage V,450509.4147924526
TIMARU DISTRICT,Stage V,442145.6465021804
WAITOMO DISTRICT,Tier 3,440130.37816136895
HASTINGS DISTRICT,Stage V,438975.1312613377
PALMERSTON NORTH CITY,Tier 2,436809.7620807919
WAIMATE DISTRICT,Tier 4f,435983.0678561282
SOUTH TARANAKI DISTRICT,Tier 4i,434750.86957738665
HOROWHENUA DISTRICT,Tier 4f,423375.1685004219
CHRISTCHURCH CITY,Stage V,421367.8830683137
HAMILTON CITY,Tier 2,421263.29000432324
ROTORUA DISTRICT,Tier 4i,416606.55688099476
INVERCARGILL CITY,Tier 2,416461.370532201
CARTERTON DISTRICT,Tier 3,409882.7949632621
WAITAKI DISTRICT,Tier 2,408694.60516518547
CENTRAL OTAGO DISTRICT,Tier 4i,408071.3361545613
WAIKATO DISTRICT,Tier 2,404268.63279113185
WHAKATANE DISTRICT,Tier 4f,395037.794214332
INVERCARGILL CITY,Stage V,394405.4819525731
TASMAN DISTRICT,Unregulated,394185.46431218524
TAUPO DISTRICT,Tier 4f,392044.0042575459
FAR NORTH DISTRICT,Tier 4f,387265.90372942766
GISBORNE DISTRICT,Tier 4i,376390.57256334793
WAIPA DISTRICT,Stage V,375200.04089379613
SOUTH WAIKATO DISTRICT,Tier 4i,371086.06490577786
WESTLAND DISTRICT,Tier 3,368173.4719322606
BULLER DISTRICT,Tier 3,364339.68956815655
HURUNUI DISTRICT,Tier 4f,361989.8168881087
NEW PLYMOUTH DISTRICT,Tier 4i,356322.2183728331
CHRISTCHURCH CITY,Unregulated,351391.8250192629
GREY DISTRICT,Tier 3,351251.8853635408
NEW PLYMOUTH DISTRICT,Tier 2,350404.4182215103
SOUTH TARANAKI DISTRICT,Tier 2,349956.1556030564
OPOTIKI DISTRICT,Tier 3,344156.35596411064
MANAWATU DISTRICT,Tier 4i,339453.5759947406
WAIMAKARIRI DISTRICT,Tier 4i,337869.6226083669
PALMERSTON NORTH CITY,Stage V,337213.3981916222
TAURANGA CITY,Tier 4i,336174.005164757
HASTINGS DISTRICT,Tier 2,334373.7792975725
OTOROHANGA DISTRICT,Tier 4f,332319.42619795946
SELWYN DISTRICT,Tier 2,331836.3568932145
HAURAKI DISTRICT,Tier 4f,330273.06437528547
DUNEDIN CITY,Tier 4i,329314.53246757877
WHANGAREI DISTRICT,Stage V,322658.87166695215
NELSON CITY,Tier 3,319170.19232879486
WAIMAKARIRI DISTRICT,Tier 2,315506.606494062
WAIKATO DISTRICT,Stage V,315134.42920369154
WELLINGTON CITY,Tier 4i,314423.8262761773
TARARUA DISTRICT,Tier 4i,313511.7669397235
TIMARU DISTRICT,Unregulated,310627.4209581376
WHANGAREI DISTRICT,Tier 2,309297.07907076715
RANGITIKEI DISTRICT,Tier 4i,308027.5331771075
TASMAN DISTRICT,Stage V,305362.0951671245
KAPITI COAST DISTRICT,Tier 3,304426.5537849065
WESTERN BAY OF PLENTY DISTRICT,Tier 2,302740.0964473825
,Tier 3,302630.5399913243
AUCKLAND,Tier 1,302141.7508346765
HOROWHENUA DISTRICT,Tier 4i,299872.841181227
CLUTHA DISTRICT,Tier 2,299583.85009989707
WAIMATE DISTRICT,Tier 4i,299077.93495089334
FAR NORTH DISTRICT,Tier 2,294915.6012790158
GORE DISTRICT,Tier 2,293642.355307957
WESTERN BAY OF PLENTY DISTRICT,Stage V,292710.5169880315
GORE DISTRICT,Stage V,291410.5516796403
GISBORNE DISTRICT,Tier 2,289468.67017719796
SOUTHLAND DISTRICT,Unregulated,289280.88221610367
NAPIER CITY,Tier 4f,288698.67562620045
WAITAKI DISTRICT,Stage V,284220.3325005894
FAR NORTH DISTRICT,Tier 4i,280096.1332068758
WAIMAKARIRI DISTRICT,Unregulated,279314.2599213681
CENTRAL HAWKE'S BAY DISTRICT,Tier 4f,276493.7459739231
KAIPARA DISTRICT,Tier 4f,273805.0611827187
WHAKATANE DISTRICT,Tier 4i,271668.159053568
SELWYN DISTRICT,Unregulated,265154.46537461755
TAUPO DISTRICT,Tier 4i,262149.0001119118
THAMES-COROMANDEL DISTRICT,Tier 4f,261483.38620972505
CENTRAL OTAGO DISTRICT,Tier 2,256922.42196987488
HURUNUI DISTRICT,Tier 4i,255932.22233809752
DUNEDIN CITY,Tier 2,254901.54428920412
SELWYN DISTRICT,Stage V,240033.6767177843
QUEENSTOWN-LAKES DISTRICT,Tier 4f,237288.57159827807
CLUTHA DISTRICT,Stage V,232995.7843574031
ROTORUA DISTRICT,Stage V,232583.74894702123
HOROWHENUA DISTRICT,Tier 2,231728.16933503957
MACKENZIE DISTRICT,Tier 4f,231016.78896486008
OTOROHANGA DISTRICT,Tier 4i,228197.6144243745
HAURAKI DISTRICT,Tier 4i,226885.65359549454
SOUTH TARANAKI DISTRICT,Stage V,223301.68836697165
MASTERTON DISTRICT,Tier 4f,221040.5312073434
INVERCARGILL CITY,Unregulated,215356.35016496084
TARARUA DISTRICT,Tier 2,213372.30466137466
WAITAKI DISTRICT,Unregulated,212689.60410046997
MATAMATA-PIAKO DISTRICT,Unregulated,212614.18274382903
SOUTH WAIRARAPA DISTRICT,Tier 4f,211139.19727429008
MARLBOROUGH DISTRICT,Unregulated,210861.49248638205
CENTRAL OTAGO DISTRICT,Stage V,209715.18067285957
KAIPARA DISTRICT,Tier 2,206201.80251090656
KAIPARA DISTRICT,Tier 4i,205085.19650901185
HURUNUI DISTRICT,Tier 2,199356.17827543325
NAPIER CITY,Tier 4i,198984.49880273765
SOUTH WAIKATO DISTRICT,Stage V,197394.02477928466
TAURANGA CITY,Stage V,197005.17306663172
MANAWATU DISTRICT,Tier 2,196703.18181032533
WAIMATE DISTRICT,Tier 2,195407.7111055667
GISBORNE DISTRICT,Stage V,193729.12693915982
WHAKATANE DISTRICT,Tier 2,191712.08705278143
ASHBURTON DISTRICT,Tier 1,191646.68697938533
NEW PLYMOUTH DISTRICT,Unregulated,190447.86489055236
WAITOMO DISTRICT,Tier 4f,190360.1190541272
WHANGANUI DISTRICT,Tier 4f,189908.8283978282
STRATFORD DISTRICT,Tier 4f,189659.8877429129
RUAPEHU DISTRICT,Tier 4f,186869.45927725144
ROTORUA DISTRICT,Tier 2,184336.91842879314
THAMES-COROMANDEL DISTRICT,Tier 4i,184307.63021080755
HAMILTON CITY,Unregulated,184143.75093704596
CENTRAL HAWKE'S BAY DISTRICT,Tier 4i,184105.95191643247
RANGITIKEI DISTRICT,Tier 2,183812.85046890893
WAIPA DISTRICT,Unregulated,183311.40159969634
TAURANGA CITY,Tier 2,182613.36103204722
WELLINGTON CITY,Stage V,182155.0440658861
WAIROA DISTRICT,Tier 3,181374.35647523645
HASTINGS DISTRICT,Unregulated,180650.9406482589
PALMERSTON NORTH CITY,Unregulated,178898.25039081197
GISBORNE DISTRICT,Unregulated,177132.9899072582
MANAWATU DISTRICT,Stage V,175604.3741607728
TARARUA DISTRICT,Stage V,174239.79716107465
WAIMAKARIRI DISTRICT,Stage V,173445.86649708485
RANGITIKEI DISTRICT,Stage V,172817.74703327235
QUEENSTOWN-LAKES DISTRICT,Tier 4i,171778.85084991757
WHANGAREI DISTRICT,Unregulated,171724.0764216355
PORIRUA CITY,Tier 3,171094.59501871746
KAIKOURA DISTRICT,Tier 3,167309.9594454342
NEW PLYMOUTH DISTRICT,Stage V,163571.29639094393
DUNEDIN CITY,Stage V,163546.3420684748
