region_key,annual_diesel_litres,active_licensed_count_geo_cohort,scr_diesel_litres,def_low_litres,def_central_litres,def_high_litres,diesel_litres_stage_v,diesel_litres_tier_1,diesel_litres_tier_2,diesel_litres_tier_3,diesel_litres_tier_4f,diesel_litres_tier_4i,diesel_litres_unregulated,regional_active_licensed_count,regional_diesel_litres,regional_diesel_ml,regional_scr_diesel_litres,regional_scr_diesel_ml,regional_def_central_ml,share_of_national_fleet,share_of_national_diesel,share_of_national_def_central,diesel_per_active_tractor_l,scr_share_of_regional_diesel,def_central_per_active_tractor_l,rank_diesel,rank_def_central,rank_active_fleet
AUCKLAND,16627994.866371708,2522.647686898933,4528224.253227087,135846.7275968126,181128.97012908343,226411.2126613544,1235099.679541455,302141.7508346765,1215809.87400433,7645116.651769234,3293124.573685632,2176688.707683831,760013.6288525488,2522.647686898933,16627994.866371708,16.627994866371708,4528224.253227087,4.528224253227087,0.1811289701290834,0.0807118181955422,0.081589762119219,0.0862518489585412,6591.4851894409185,0.2723253338491776,71.80113619105629,1.0,1.0,1.0
ASHBURTON DISTRICT,11548300.232706267,1768.4185532470422,2985037.5965857846,89551.12789757353,119401.50386343138,149251.87982928925,800157.6748881852,191646.68697938533,930992.9626846714,5459894.26038391,2184879.9216976,1496624.5384352962,484104.1876372201,1768.4185532470422,11548300.232706267,11.548300232706268,2985037.5965857846,2.9850375965857845,0.1194015038634313,0.0565803451288746,0.0566648640704941,0.0568578315733366,6530.2980516134685,0.2584828534446806,67.51880296901145,2.0,2.0,2.0
MARLBOROUGH DISTRICT,9615131.293152664,1412.725332323812,2701453.205601925,81043.59616805773,108058.12822407698,135072.66028009623,729955.8317713297,78774.07598079389,685089.4232968962,4624585.353049247,1971497.3738305948,1314367.7427374213,210861.49248638205,1412.725332323812,9615131.293152664,9.615131293152665,2701453.205601925,2.701453205601925,0.1080581282240769,0.0451999820565211,0.0471792468820123,0.0514562267299572,6806.086840204527,0.2809585353791001,76.48912761147317,3.0,3.0,3.0
SOUTHLAND DISTRICT,9068056.144146442,1365.755014816496,2406377.149189037,72191.3144756711,96255.08596756148,120318.85745945184,643996.7291608396,136394.08019619784,683138.5111846471,4342968.799466973,1762380.420028197,1209896.721893484,289280.88221610367,1365.755014816496,9068056.144146442,9.068056144146444,2406377.149189037,2.4063771491890367,0.0962550859675614,0.0436971722321744,0.0444948744349757,0.0458357331267818,6639.592054044066,0.2653685763450403,70.47756363574057,4.0,4.0,4.0
MATAMATA-PIAKO DISTRICT,7232557.854348387,1090.7584351102655,1914082.930625184,57422.48791875553,76563.31722500737,95704.14653125922,518289.84867933736,70798.11040604798,603209.0225633584,3483992.470496148,1395793.0819458468,947861.1375138198,212614.18274382903,1090.7584351102655,7232557.854348387,7.232557854348387,1914082.930625184,1.914082930625184,0.0765633172250073,0.0348986887733407,0.0354885047531011,0.0364587049125824,6630.760415450964,0.26464813267610315,70.19273448686873,5.0,5.0,5.0
TIMARU DISTRICT,6884044.131514043,1073.3620645523083,1672173.8566820328,50165.21570046098,66886.95426728131,83608.69283410165,442145.6465021804,138995.1604833123,600004.2295984046,3297598.192991761,1230028.2101798523,864645.270800394,310627.4209581376,1073.3620645523083,6884044.131514043,6.884044131514043,1672173.8566820328,1.6721738566820328,0.0668869542672813,0.034342093928556,0.033778427743224,0.0318509152492115,6413.534033723587,0.24290574330096038,62.31537006590538,6.0,6.0,6.0
CHRISTCHURCH CITY,5884893.087787285,910.1734148153114,1541085.409123813,46232.56227371439,61643.41636495252,77054.27045619066,421367.8830683137,97530.30118071586,469791.94151363726,2678477.817288878,1119717.5260554994,746615.793660978,351391.8250192629,910.1734148153114,5884893.087787285,5.884893087787286,1541085.409123813,1.541085409123813,0.0616434163649525,0.0291208921342857,0.0288758224300781,0.0293539936422607,6465.683343411457,0.26187143693773707,67.72711151694199,7.0,9.0,7.0
HAMILTON CITY,5809363.233345269,861.3303299622937,1646712.6605495785,49401.379816487344,65868.50642198313,82335.63302747892,450509.4147924526,55953.67530621234,421263.2900043232,2714349.311917143,1196203.2457571258,786940.5446309667,184143.750937046,861.3303299622937,5809363.233345269,5.80936323334527,1646712.6605495785,1.6467126605495783,0.0658685064219831,0.0275581633373793,0.0285052147346617,0.0313659403185739,6744.640274770754,0.2834583747660299,76.47299082672104,8.0,7.0,9.0
INVERCARGILL CITY,5592236.411996629,845.8582487367748,1469789.5501672623,44093.68650501787,58791.58200669049,73489.47750836312,394405.4819525731,84027.04498543443,416461.370532201,2670937.396554882,1075384.0682146891,735664.6995918874,215356.35016496084,845.8582487367748,5592236.411996629,5.5922364119966295,1469789.5501672623,1.4697895501672624,0.0587915820066904,0.027063135905104,0.027439823155827,0.0279959779358373,6611.316281833522,0.26282679090859373,69.5052416814415,9.0,10.0,10.0
WAIPA DISTRICT,5534265.582287926,842.1311317947483,1397914.1760574246,41937.42528172274,55916.567042296985,69895.70880287123,375200.0408937961,72809.88874204468,456568.4054896872,2712733.50698614,1022714.1351636284,710928.2034129346,183311.4015996964,842.1311317947483,5534265.582287926,5.534265582287926,1397914.1760574246,1.3979141760574247,0.0559165670422969,0.0269438872337257,0.0271553735728318,0.026626923850863,6571.7385016907165,0.2525925355897921,66.39888365500468,10.0,11.0,11.0
TASMAN DISTRICT,5331595.61090429,867.4018318497768,1161143.3680641192,34834.30104192358,46445.73472256477,58057.16840320597,305362.0951671245,136353.44143520086,518889.296994252,2514126.789736163,855781.2728969946,606897.2503623699,394185.4643121853,867.4018318497768,5331595.61090429,5.33159561090429,1161143.3680641192,1.1611433680641192,0.0464457347225647,0.0277524203313549,0.0261609184453923,0.0221170058726894,6146.627105380216,0.2177853409754717,53.54581119977219,11.0,14.0,8.0
HASTINGS DISTRICT,5259960.6001407225,771.715707507632,1583852.5098125988,47515.575294377966,63354.10039250396,79192.62549062994,438975.1312613377,71204.53793267932,334373.7792975725,2360288.132671588,1144877.378551261,729590.6997780257,180650.9406482589,771.715707507632,5259960.6001407225,5.259960600140722,1583852.5098125988,1.5838525098125988,0.0633541003925039,0.0246909539554326,0.0258094218557808,0.0301686046912553,6815.930463730652,0.3011148999424492,82.09512878403781,12.0,8.0,12.0
PALMERSTON NORTH CITY,4810163.628036168,742.2003726826492,1236150.1508692638,37084.50452607792,49446.00603477055,61807.5075434632,337213.3981916222,83935.59779402582,436809.7620807919,2271955.1311136503,898936.7526776416,602414.7357876246,178898.25039081197,742.2003726826492,4810163.628036168,4.810163628036168,1236150.1508692638,1.2361501508692638,0.0494460060347705,0.0237466142639464,0.0236023711409544,0.0235457058088211,6480.950165317288,0.256987131095568,66.62083159032942,13.0,12.0,13.0
