region_key,annual_diesel_litres,active_licensed_count_geo_cohort,scr_diesel_litres,def_low_litres,def_central_litres,def_high_litres,diesel_litres_stage_v,diesel_litres_tier_1,diesel_litres_tier_2,diesel_litres_tier_3,diesel_litres_tier_4f,diesel_litres_tier_4i,diesel_litres_unregulated,regional_active_licensed_count,regional_diesel_litres,regional_diesel_ml,regional_scr_diesel_litres,regional_scr_diesel_ml,regional_def_central_ml,share_of_national_fleet,share_of_national_diesel,share_of_national_def_central
TASMAN DISTRICT,5331595.61090429,867.4018318497768,1161143.3680641192,34834.30104192358,46445.73472256477,58057.16840320597,305362.0951671245,136353.44143520086,518889.296994252,2514126.789736163,855781.2728969946,606897.2503623699,394185.4643121853,867.4018318497768,5331595.61090429,5.33159561090429,1161143.3680641192,1.1611433680641192,0.04644573472256477,0.027752420331354936,0.02616091844539239,0.022117005872689447
HASTINGS DISTRICT,5259960.6001407225,771.715707507632,1583852.5098125988,47515.575294377966,63354.10039250396,79192.62549062994,438975.1312613377,71204.53793267932,334373.7792975725,2360288.132671588,1144877.378551261,729590.6997780257,180650.9406482589,771.715707507632,5259960.6001407225,5.259960600140722,1583852.5098125988,1.5838525098125988,0.06335410039250396,0.02469095395543264,0.02580942185578089,0.030168604691255305
PALMERSTON NORTH CITY,4810163.628036168,742.2003726826492,1236150.1508692638,37084.50452607792,49446.00603477055,61807.5075434632,337213.3981916222,83935.59779402582,436809.7620807919,2271955.1311136503,898936.7526776416,602414.7357876246,178898.25039081197,742.2003726826492,4810163.628036168,4.810163628036168,1236150.1508692638,1.2361501508692638,0.04944600603477055,0.02374661426394642,0.023602371140954478,0.02354570580882112
WAIKATO DISTRICT,4795341.988475543,733.0244464761621,1199300.4475800977,35979.013427402926,47972.0179032039,59965.02237900488,315134.42920369154,75543.0549815647,404268.6327911319,2347670.755456335,884166.0183764059,622569.570743484,145989.52692293082,733.0244464761621,4795341.988475543,4.795341988475544,1199300.4475800977,1.1993004475800977,0.0479720179032039,0.023453031576359903,0.023529644750569678,0.022843807036913095
WAITAKI DISTRICT,4430342.683132398,695.7185928295519,1075200.5182717298,32256.01554815189,43008.0207308692,53760.02591358649,284220.3325005894,86932.93593835701,408694.6051651855,2094862.1031173088,790980.1857711406,551962.9165393462,212689.60410047,695.7185928295519,4430342.683132398,4.430342683132398,1075200.5182717298,1.07520051827173,0.0430080207308692,0.022259435144804243,0.021738676763391942,0.020479999999122783
WHANGAREI DISTRICT,4137983.852561667,622.474158220621,1160278.7808322627,34808.36342496788,46411.15123329051,58013.939041613135,322658.8716669521,59438.71849916882,309297.07907076715,1893058.2572011843,837619.9091653106,544186.9405366487,171724.0764216355,622.474158220621,4137983.852561667,4.137983852561667,1160278.7808322627,1.1602787808322628,0.04641115123329051,0.019915988011582682,0.020304138947412696,0.022100537552402433
GORE DISTRICT,4124921.625298516,621.708268833004,1094789.7251794224,32843.69175538267,43791.589007176895,54739.48625897113,291410.5516796403,61379.36902425542,293642.355307957,1962341.4208099127,803379.1734997821,551699.0925871893,161069.66238977876,621.708268833004,4124921.625298516,4.124921625298516,1094789.7251794224,1.0947897251794225,0.0437915890071769,0.01989148347005186,0.02024004559017315,0.020853127569873234
SELWYN DISTRICT,3797852.3982735546,605.2364023843221,898637.2111773636,26959.11633532091,35945.48844709455,44931.86055886818,240033.6767177843,88324.92327332283,331836.3568932145,1756072.7738910122,658603.5344595794,457826.6676640241,265154.46537461755,605.2364023843221,3797852.3982735546,3.797852398273555,898637.2111773636,0.8986372111773636,0.03594548844709455,0.019364468026297377,0.01863519180930917,0.017116891009043334
WESTERN BAY OF PLENTY DISTRICT,3746247.2642862727,570.1393602762987,1057493.967263568,31724.81901790704,42299.75869054272,52874.6983631784,292710.5169880315,70168.16969393325,302740.0964473825,1666304.6625384325,764783.4502755365,489340.7659688474,160199.6023741087,570.1393602762987,3746247.2642862727,3.7462472642862727,1057493.967263568,1.057493967263568,0.04229975869054272,0.018241542262015825,0.018381977237138,0.020142732523457395
SOUTH TARANAKI DISTRICT,3536371.306314163,554.1043118424678,844696.659293036,25340.89977879108,33787.86637172144,42234.8329646518,223301.68836697165,64305.57935767647,349956.1556030564,1716266.3640446635,621394.9709260644,434750.86957738665,126395.67843834388,554.1043118424678,3536371.306314163,3.536371306314163,844696.659293036,0.844696659293036,0.03378786637172144,0.017728502759643206,0.017352163984060896,0.016089452420825944
