region_key,scenario_name,year,regional_active_licensed_count,regional_diesel_ml,regional_scr_diesel_ml,regional_def_central_ml,def_low_ml,def_high_ml,scenario_label
TIMARU DISTRICT,moderate_modernization,2030,1073.432502865356,7.356,2.449,0.098,0.073,0.122,Moderate Modernisation
HAMILTON CITY,moderate_modernization,2030,861.3882938515482,6.216,2.342,0.094,0.07,0.117,Moderate Modernisation
HASTINGS DISTRICT,moderate_modernization,2030,771.7659136619548,5.626,2.22,0.089,0.067,0.111,Moderate Modernisation
CHRISTCHURCH CITY,moderate_modernization,2030,910.2324161618304,6.286,2.206,0.088,0.066,0.11,Moderate Modernisation
INVERCARGILL CITY,moderate_modernization,2030,845.9160075431454,5.971,2.124,0.085,0.064,0.106,Moderate Modernisation
WAIPA DISTRICT,moderate_modernization,2030,842.1897176348002,5.913,2.038,0.082,0.061,0.102,Moderate Modernisation
PALMERSTON NORTH CITY,moderate_modernization,2030,742.2436245459618,5.151,1.781,0.071,0.053,0.089,Moderate Modernisation
WAIKATO DISTRICT,moderate_modernization,2030,733.0743901278074,5.128,1.757,0.07,0.053,0.088,Moderate Modernisation
TASMAN DISTRICT,moderate_modernization,2030,867.4433169845639,5.685,1.721,0.069,0.052,0.086,Moderate Modernisation
WHANGAREI DISTRICT,moderate_modernization,2030,622.5160584335971,4.425,1.643,0.066,0.049,0.082,Moderate Modernisation
AUCKLAND,scr_push,2030,2522.8001626490627,19.171,8.551,0.342,0.257,0.428,SCR Push
ASHBURTON DISTRICT,scr_push,2030,1768.537907490089,13.289,5.741,0.23,0.172,0.287,SCR Push
MARLBOROUGH DISTRICT,scr_push,2030,1412.8133844334366,11.138,5.126,0.205,0.154,0.256,SCR Push
SOUTHLAND DISTRICT,scr_push,2030,1365.8541558950028,10.462,4.628,0.185,0.139,0.231,SCR Push
MATAMATA-PIAKO DISTRICT,scr_push,2030,1090.8343014353586,8.343,3.665,0.147,0.11,0.183,SCR Push
TIMARU DISTRICT,scr_push,2030,1073.432502865356,7.891,3.265,0.131,0.098,0.163,SCR Push
HAMILTON CITY,scr_push,2030,861.3882938515482,6.728,3.099,0.124,0.093,0.155,SCR Push
HASTINGS DISTRICT,scr_push,2030,771.7659136619548,6.113,2.93,0.117,0.088,0.146,SCR Push
CHRISTCHURCH CITY,scr_push,2030,910.2324161618304,6.764,2.922,0.117,0.088,0.146,SCR Push
INVERCARGILL CITY,scr_push,2030,845.9160075431453,6.441,2.824,0.113,0.085,0.141,SCR Push
WAIPA DISTRICT,scr_push,2030,842.1897176348002,6.359,2.711,0.108,0.081,0.136,SCR Push
PALMERSTON NORTH CITY,scr_push,2030,742.2436245459617,5.529,2.357,0.094,0.071,0.118,SCR Push
WAIKATO DISTRICT,scr_push,2030,733.0743901278075,5.515,2.344,0.094,0.07,0.117,SCR Push
TASMAN DISTRICT,scr_push,2030,867.4433169845638,6.052,2.292,0.092,0.069,0.115,SCR Push
WHANGAREI DISTRICT,scr_push,2030,622.5160584335971,4.78,2.169,0.087,0.065,0.108,SCR Push
