scenario_name,scenario_label,national_diesel_ml,def_central_ml,national_scr_tractor_count,scr_share_pct,modern_tiers_share_pct,delta_national_diesel_ml_vs_baseline,pct_delta_national_diesel_ml_vs_baseline,delta_national_scr_tractor_count_vs_baseline,pct_delta_national_scr_tractor_count_vs_baseline,delta_national_scr_diesel_ml_vs_baseline,pct_delta_national_scr_diesel_ml_vs_baseline,delta_def_central_ml_vs_baseline,pct_delta_def_central_ml_vs_baseline,delta_modern_tiers_share_pct_vs_baseline,pct_delta_modern_tiers_share_pct_vs_baseline,delta_scr_share_pct_vs_baseline,pct_delta_scr_share_pct_vs_baseline
baseline_current_structure,Baseline,203.8,2.1,4214,13.5,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moderate_modernization,Moderate Modernisation,217.882,3.037,5932,19.0,38.8,14.082207348802314,6.90981658904618,1717.4998028999998,40.75697143407426,23.42698321190416,44.622803654377805,0.9370793284761664,44.62280365437781,8.51959897681433,28.109365448644468,5.4951205656843705,40.75697143407426
accelerated_modernization,Accelerated Modernisation,231.29,3.974,7649,24.5,45.2,27.490478115359167,13.48894793389584,3434.999605799999,81.51394286814849,46.85396642380836,89.24560730875568,1.8741586569523352,89.24560730875572,14.90929820942508,49.19138953512783,10.99024113136874,81.51394286814852
scr_push,SCR Push,234.421,4.035,7509,24.0,36.7,30.620631773124927,15.024842636691346,3295.199335199999,78.19642537807412,48.36780276025222,92.12910370242156,1.9347121104100893,92.1291037024216,6.389699232610745,21.082024086483344,10.542951797905548,78.19642537807411
delayed_replacement,Delayed Replacement,210.164,2.392,4740,15.2,32.4,6.363784904298285,3.1225634882149214,525.8998440999994,12.47981798133328,7.297432521841124,13.89986476951592,0.2918973008736452,13.899864769515933,2.129899744203584,7.027341362161123,1.6826104107403896,12.479817981333262
