scenario_name,year,national_weighted_fleet,national_diesel_ml,national_scr_tractor_count,national_scr_diesel_ml,def_low_ml,def_central_ml,def_high_ml
baseline_current_structure,2026,31254.997636000004,203.80001650298792,4214.002519,52.50002530848554,1.575000759254566,2.1000010123394217,2.6250012654242774
baseline_current_structure,2027,31254.997636000004,203.80001650298792,4214.002519,52.50002530848554,1.575000759254566,2.1000010123394217,2.6250012654242774
baseline_current_structure,2028,31254.997636000004,203.80001650298792,4214.002519,52.50002530848554,1.575000759254566,2.1000010123394217,2.6250012654242774
baseline_current_structure,2029,31254.997636000004,203.80001650298792,4214.002519,52.50002530848554,1.575000759254566,2.1000010123394217,2.6250012654242774
baseline_current_structure,2030,31254.997636000004,203.80001650298792,4214.002519,52.50002530848554,1.575000759254566,2.1000010123394217,2.6250012654242774
moderate_modernization,2026,31254.997636000004,203.80001650298792,4214.002519,52.50002530848554,1.575000759254566,2.1000010123394217,2.6250012654242774
moderate_modernization,2027,31254.997635999993,207.32056834018852,4643.377469725,58.35677111146158,1.7507031333438474,2.3342708444584632,2.9178385555730793
moderate_modernization,2028,31254.997636,210.84112017738906,5072.75242045,64.21351691443762,1.9264055074331285,2.5685406765775047,3.210675845721881
moderate_modernization,2029,31254.997636,214.36167201458966,5502.127371175,70.07026271741368,2.1021078815224103,2.8028105086965476,3.5035131358706844
moderate_modernization,2030,31254.997636,217.88222385179026,5931.5023218999995,75.92700852038972,2.2778102556116915,3.0370803408155886,3.7963504260194862
accelerated_modernization,2026,31254.997636000004,203.80001650298792,4214.002519,52.50002530848554,1.575000759254566,2.1000010123394217,2.6250012654242774
accelerated_modernization,2027,31254.997636,210.6726360318277,5072.75242045,64.21351691443762,1.9264055074331285,2.5685406765775047,3.210675845721881
accelerated_modernization,2028,31254.997635999993,217.54525556066753,5931.5023218999995,75.92700852038972,2.2778102556116915,3.0370803408155886,3.7963504260194862
accelerated_modernization,2029,31254.997635999996,224.41787508950728,6790.25222335,87.64050012634182,2.6292150037902546,3.505620005053673,4.382025006317091
accelerated_modernization,2030,31254.997636,231.29049461834705,7649.0021248,99.35399173229392,2.9806197519688173,3.974159669291757,4.967699586614696
scr_push,2026,31254.997636000004,203.80001650298792,4214.002519,52.50002530848554,1.575000759254566,2.1000010123394217,2.6250012654242774
scr_push,2027,31254.997636000004,211.45517444626915,5037.8023528,64.59197599854859,1.9377592799564576,2.5836790399419436,3.22959879992743
scr_push,2028,31254.997636,219.11033238955036,5861.602186600001,76.68392668861166,2.30051780065835,3.067357067544467,3.834196334430583
scr_push,2029,31254.997636000004,226.76549033283163,6685.4020204,88.7758773786747,2.6632763213602413,3.5510350951469882,4.438793868933735
scr_push,2030,31254.997636,234.42064827611281,7509.2018542000005,100.86782806873775,3.0260348420621326,4.03471312274951,5.043391403436888
delayed_replacement,2026,31254.997636000004,203.80001650298792,4214.002519,52.50002530848554,1.575000759254566,2.1000010123394217,2.6250012654242774
delayed_replacement,2027,31254.997636,205.39096272906247,4345.477480025,54.324383438945816,1.6297315031683743,2.172975337557833,2.716219171947291
delayed_replacement,2028,31254.997636,206.98190895513704,4476.95244105,56.1487415694061,1.6844622470821828,2.245949662776244,2.807437078470305
delayed_replacement,2029,31254.997636,208.57285518121162,4608.427402075,57.97309969986638,1.7391929909959913,2.3189239879946553,2.8986549849933194
delayed_replacement,2030,31254.997636,210.1638014072862,4739.9023631,59.79745783032667,1.7939237349098,2.391898313213067,2.9898728915163337
